"","baker_first_name","baker_last_name","baker_age","baker_occupation","baker_hometown","series","episode","technical","signature_bake","show_stopper","result"
"336","Christine","Wallace",66,"Director of an engraving company","Didcot, Oxfordshire",4,5,"1","Mixed Berry and Almond Crumble Traybake","Shortbread Bavarian Clock Tower","STAR BAKER"
"337","Ali","Imdad",25,"Charity worker","Saltley, Birmingham",4,5,NA,NA,NA,NA
"338","Deborah","Manger",51,"Dentist","Peterborough",4,5,NA,NA,NA,NA
"339","Lucy","Bellamy",38,"Horticulturist","Grimsby, Lincolnshire",4,5,NA,NA,NA,NA
"340","Mark","Onley",37,"Carpenter and Kitchen Fitter","Milton Keynes",4,5,NA,NA,NA,NA
"341","Toby","Waterworth",30,"Web Programmer","Reading, Berkshire",4,5,NA,NA,NA,NA
"342","Beca","Lyne-Pirkis",31,"Military Wives' Choir Singer","Aldershot, Hampshire",4,6,"6","Bara Brith","Chocolate and Rum-Soaked Prune BriochesCardamom Spiced Lemon Iced Buns","IN"
"343","Christine","Wallace",66,"Director of an engraving company","Didcot, Oxfordshire",4,6,"4","Oxford Nutty Fruit Loaf","Schnecken BunsVanilla Custard Skolebrød","IN"
"344","Frances","Quinn",31,"Children's Clothes Designer","Market Harborough, Leicestershire",4,6,"2","Chai Tea Loaf","Hot Cross BriochesRhubarb and Custard Kolaches","IN"
"345","Glenn","Cosby",37,"English Teacher","Teignmouth, Devon",4,6,"5","Devonshire Panettone","Almond and Apricot BriochesSticky Caramel Kanelbullen","IN"
"346","Kimberley","Wilson",30,"Psychologist","London",4,6,"3","Chai Spiced Ginger and Date Tea Loaf","Double Chocolate and Hazelnut BriochesDanish Kanelsnurrer","IN"
"347","Howard","Middleton",51,"Council Worker","Sheffield",4,6,"7","Date & Hemp Yorkshire Loaf","Peachy BunsGerman Baumschnecken","OUT"
"348","Ruby","Tandoh",20,"History of Art and Philosophy Student","Southend, Essex",4,6,"1","Citrus Tea Loaf","Twisted Swedish KanelbullarSaffron St. Lucia Buns","STAR BAKER"
"349","Ali","Imdad",25,"Charity worker","Saltley, Birmingham",4,6,NA,NA,NA,NA
"350","Deborah","Manger",51,"Dentist","Peterborough",4,6,NA,NA,NA,NA
"351","Lucy","Bellamy",38,"Horticulturist","Grimsby, Lincolnshire",4,6,NA,NA,NA,NA
"352","Mark","Onley",37,"Carpenter and Kitchen Fitter","Milton Keynes",4,6,NA,NA,NA,NA
"353","Robert","Smart",54,"Space Satellite Designer","Melbourn, Cambridgeshire",4,6,NA,NA,NA,NA
"354","Toby","Waterworth",30,"Web Programmer","Reading, Berkshire",4,6,NA,NA,NA,NA
"355","Beca","Lyne-Pirkis",31,"Military Wives' Choir Singer","Aldershot, Hampshire",4,7,"1","Spring Lamb and Vegetable Suet Puddingwith Redcurrant Gravy","Nectarine and Frangipane SquaresChocolate and Hazelnut Vol-au-ventsStrawberries and Cream Mille-feuille","IN"
"356","Christine","Wallace",66,"Director of an engraving company","Didcot, Oxfordshire",4,7,"6","Spotted Dick 'With a Kick'and Vanilla Custard Ice Cream","Eccles CakesFresh Fruit BasketsLemon Cream Eton Mess Mille-feuille","IN"
"357","Kimberley","Wilson",30,"Psychologist","London",4,7,"4","Barberry and Apple Spotted Dickwith Maple Syrup and White Chocolate Custard","Pear, Malt and Butterscotch Mille-feuilleBlackberry and Lemon Verbena Crème Brûle Custard TartsFig, Orange and Thyme Galette","IN"
"358","Ruby","Tandoh",20,"History of Art and Philosophy Student","Southend, Essex",4,7,"2","Plum Jam Roly-Polywith Ginger Ice cream","Raspberry and Passion Fruit Mille-feuilleCaramelised Apple LatticePortuguese Custard Tarts","IN"
"359","Glenn","Cosby",37,"English Teacher","Teignmouth, Devon",4,7,"3","Prune and Armagnac Puddingwith Boozy Butterscotch Sauce","Caramelised Apple and Marzipan TartletsChocolate Elephant EarsPassion Fruit Mille-feuille","OUT"
"360","Frances","Quinn",31,"Children's Clothes Designer","Market Harborough, Leicestershire",4,7,"5","Figgy Roll-y Poly Puddingwith Caramelised Walnut and Honey Ice-Cream","French Framboise Cream HornsSheet Music Mille-feuilleBass Clef Palmiers","STAR BAKER"
"361","Ali","Imdad",25,"Charity worker","Saltley, Birmingham",4,7,NA,NA,NA,NA
"362","Deborah","Manger",51,"Dentist","Peterborough",4,7,NA,NA,NA,NA
"363","Howard","Middleton",51,"Council Worker","Sheffield",4,7,NA,NA,NA,NA
"364","Lucy","Bellamy",38,"Horticulturist","Grimsby, Lincolnshire",4,7,NA,NA,NA,NA
"365","Mark","Onley",37,"Carpenter and Kitchen Fitter","Milton Keynes",4,7,NA,NA,NA,NA
"366","Robert","Smart",54,"Space Satellite Designer","Melbourn, Cambridgeshire",4,7,NA,NA,NA,NA
"367","Toby","Waterworth",30,"Web Programmer","Reading, Berkshire",4,7,NA,NA,NA,NA
"368","Beca","Lyne-Pirkis",31,"Military Wives' Choir Singer","Aldershot, Hampshire",4,8,"4","Potato, Spelt and Rosemary Focaccia","Spiced Butternut Squash and Pecan 'Cheese' Cake","IN"
